[1027/190724.520:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name plat, discarding value Win64
[1027/190724.536:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name prod, discarding value OperaDesktop
[1027/190724.536:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name ver, discarding value 56.0.3051.52
[1027/190724.536:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name channel, discarding value Stable
[1027/190724.536:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name ptype, discarding value browser
[1027/192236.678:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name plat, discarding value Win64
[1027/192236.678:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name prod, discarding value OperaDesktop
[1027/192236.678:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name ver, discarding value 56.0.3051.52
[1027/192236.678:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name channel, discarding value Stable
[1027/192236.678:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name ptype, discarding value browser
[1027/195009.209:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name plat, discarding value Win64
[1027/195009.209:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name prod, discarding value OperaDesktop
[1027/195009.209:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name ver, discarding value 56.0.3051.52
[1027/195009.209:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name channel, discarding value Stable
[1027/195009.209:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name ptype, discarding value browser
[1027/195024.617:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name plat, discarding value Win64
[1027/195024.618:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name prod, discarding value OperaDesktop
[1027/195024.618:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name ver, discarding value 56.0.3051.52
[1027/195024.618:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name channel, discarding value Stable
[1027/195024.618:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name ptype, discarding value browser
